source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
pseudo_negative,C26H48O2_003,C26H48O2,False,True,-0.4090452162806756,0.6642841951825204,0.4412734919692888,1,23,2,1,0,0,0,0
pseudo_negative,C26H48O2_004,C26H48O2,False,True,-0.40765521099496344,0.6652081957591088,0.4425019437050889,1,24,1,0,1,0,0,0
pseudo_negative,C26H48O_001,C26H48O,False,True,-0.3878066810628727,0.6785435058949396,0.46042128939219595,0,23,0,2,1,0,0,0
pseudo_negative,C26H48O_002,C26H48O,False,True,-0.39372366351634075,0.6745404306189212,0.45500479253955967,1,23,1,1,0,0,0,0
pseudo_negative,C26H48O_003,C26H48O,False,True,-0.3923336582306286,0.6754786973296819,0.45627147054620404,1,24,0,0,1,0,0,0
pseudo_negative,C26H48_001,C26H48,False,True,-0.3784021107520059,0.6849550175050326,0.46916337600531954,1,23,0,1,0,0,0,0
pseudo_negative,C26H50O2_001,C26H50O2,False,True,-0.4120417493865665,0.6622966249971003,0.4386368194825497,0,23,2,2,0,0,0,0
pseudo_negative,C26H50O2_002,C26H50O2,False,True,-0.41065174410085437,0.6632178609196286,0.4398579310428079,0,24,1,1,1,0,0,0
pseudo_negative,C26H50O2_003,C26H50O2,False,True,-0.4092617388151423,0.6641403782553379,0.4410824420291433,0,25,0,0,2,0,0,0
pseudo_negative,C26H50O2_004,C26H50O2,False,True,-0.4165687265543224,0.6593051994637363,0.43468334603991715,1,24,2,0,0,0,0,0
pseudo_negative,C26H50O_001,C26H50O,False,True,-0.3967201966222317,0.6725221732849647,0.45228607355993206,0,23,1,2,0,0,0,0
pseudo_negative,C26H50O_002,C26H50O,False,True,-0.39533019133651953,0.6734576326567071,0.45354518298357627,0,24,0,1,1,0,0,0
pseudo_negative,C26H50O_003,C26H50O,False,True,-0.4012471737899876,0.669484561548793,0.4482095781521796,1,24,1,0,0,0,0,0
pseudo_negative,C26H50_001,C26H50,False,True,-0.38139864385789685,0.682905599227404,0.46636005745613973,0,23,0,2,0,0,0,0
pseudo_negative,C26H50_002,C26H50,False,True,-0.38592562102565275,0.6798210881951834,0.46215671195488334,1,24,0,0,0,0,0,0
pseudo_negative,C26H52O2_001,C26H52O2,False,True,-0.41956525966021335,0.6573325266724072,0.4320860506215309,0,24,2,1,0,0,0,0
pseudo_negative,C26H52O2_002,C26H52O2,False,True,-0.4181752543745012,0.658246857674199,0.4332889256379572,0,25,1,0,1,0,0,0
