stage,rank,A,E_ref,k,total_loss,positive_loss,separation_loss,regularization_loss,mean_positive_log_score,pseudo_log_score_statistic,score_gap
random,125,16.6693432922519,79.42677075277221,183.02868618407024,0.05763870115585411,0.047954382090072245,0.0063647018201931915,0.004910792700636972,-0.047954382090072245,-0.14158968026987906,0.09363529817980681
random,126,6.219618857552796,341.14397155059504,1124.256304927553,0.05766004734073569,0.057404304243561986,0.0,0.0002557430971737009,-0.057404304243561986,-0.1655463114182501,0.10814200717468811
random,127,13.492772971263939,81.02712436163065,181.126215292046,0.05766263124408127,0.04734221432933646,0.0074640225352896605,0.0047224000132775595,-0.04734221432933646,-0.1398781917940468,0.09253597746471035
random,128,20.407004607243913,157.7878924039048,1450.9157602387522,0.057673915478913304,0.0447592733971162,0.015805973517436803,0.001060161943719495,-0.0447592733971162,-0.1289532998796794,0.0841940264825632
random,129,24.753224694529592,138.91258012098777,1142.129604788338,0.057678249921074516,0.04538046285318764,0.01448775238544947,0.0014319727787997685,-0.04538046285318764,-0.13089271046773818,0.08551224761455054
random,130,6.62397930436281,75.81482970582263,160.07058719071424,0.057688171311074406,0.04795440116422208,0.005753880767463748,0.005418359571254515,-0.04795440116422208,-0.14220052039675835,0.09424611923253626
random,131,6.850845523957227,277.404342557443,1148.6453254973321,0.05768829733106699,0.04219250820130256,0.020436542459106546,0.0001683822854345156,-0.04219250820130256,-0.12175596574219602,0.07956345754089346
random,132,3.2745462384144837,190.18033181187263,220.60063144817371,0.057688901505548694,0.05395044318883617,0.0,0.0037384583167125217,-0.05395044318883617,-0.1581600175395947,0.10420957435075852
random,133,27.16164351862981,139.3693337930273,1393.43466537357,0.05770425844998259,0.04608611702320568,0.01322915608003418,0.0016962743667512643,-0.04608611702320568,-0.1328569609431715,0.08677084391996583
random,134,7.405274225532892,183.20861619469028,495.49946571257084,0.05770998733845052,0.04238333871227816,0.019333519584884926,0.0008265089375086695,-0.04238333871227816,-0.12304981912739324,0.08066648041511508
random,135,3.459518243963863,450.42141083602166,787.4368926841139,0.05771097787311722,0.04353684353064395,0.0171002353459644,0.0013489578329999622,-0.04353684353064395,-0.12643660818467956,0.0828997646540356
random,136,4.027774011682847,707.0526389115388,1794.051694517388,0.05772033468608443,0.04522878848984509,0.01411730025227552,0.0019035710070327042,-0.04522878848984509,-0.13111148823756957,0.08588269974772449
random,137,4.487502111418959,64.50538722982947,144.0657564959816,0.057726158021243104,0.0509677716434735,0.0,0.006758386377769607,-0.0509677716434735,-0.15137459188081695,0.10040682023734346
random,138,6.1626736139759135,65.87637439859111,151.4686805642175,0.057743725825685,0.048985817052167466,0.003550836238583391,0.006094781594579993,-0.048985817052167466,-0.14543498081358408,0.09644916376141661
random,139,6.601215464609684,280.4012252961806,1104.0793368848006,0.057772867289164025,0.04195528861115926,0.020840947692589873,0.00018686790856235606,-0.04195528861115926,-0.1211143409185694,0.07915905230741013
random,140,3.8900865754562237,448.12708229103333,962.2930129510751,0.057790458685625275,0.043037723337208546,0.018265059529597616,0.001053940701218516,-0.043037723337208546,-0.12477266380761094,0.08173494047040239
random,141,16.224502380852382,108.45868617528636,298.6984871813001,0.05779249024958206,0.045174664057406326,0.013184616614452305,0.0027293637313365042,-0.045174664057406326,-0.13199004744295403,0.0868153833855477
random,142,13.14538862274171,225.23975947658943,2517.70583112253,0.0578222415365344,0.044776638578856255,0.016048116476337748,0.0010095156004248308,-0.044776638578856255,-0.1287285221025185,0.08395188352366226
random,143,21.098825606727036,205.60009808900568,6164.556147793978,0.05783074671796892,0.0538224245820222,0.0,0.004008322135946722,-0.0538224245820222,-0.15475159911154462,0.10092917452952242
